ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
17,Dubai ,Dubai Tennis Championships,28/02/18,ATP500,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Kohlschreiber P.,82,33,678,1335,4,6,6,3,6,4,,,,,2,1,Completed,2.37,1.53,2.25,1.57,2.25,1.61,2.4,1.65,2.53,1.69,2.34,1.6
17,Dubai ,Dubai Tennis Championships,28/02/18,ATP500,Outdoor,Hard,2nd Round,3,Krajinovic F.,Baghdatis M.,34,112,1332,519,7,6,6,4,,,,,,,2,0,Completed,1.66,2.1,1.72,2,1.8,2,1.79,2.15,1.8,2.18,1.75,2.08
17,Dubai ,Dubai Tennis Championships,28/02/18,ATP500,Outdoor,Hard,2nd Round,3,Jaziri M.,Haase R.,117,43,481,1220,7,6,7,6,,,,,,,2,0,Completed,3,1.36,2.75,1.4,2.75,1.44,2.98,1.45,3.2,1.5,2.85,1.43
17,Dubai ,Dubai Tennis Championships,01/03/18,ATP500,Outdoor,Hard,Quarterfinals,3,Bautista Agut R.,Coric B.,23,50,1845,981,7,6,6,4,,,,,,,2,0,Completed,1.53,2.5,1.55,2.3,1.57,2.37,1.67,2.38,1.69,2.65,1.58,2.4
17,Dubai ,Dubai Tennis Championships,01/03/18,ATP500,Outdoor,Hard,Quarterfinals,3,Jaziri M.,Tsitsipas S.,117,82,481,678,6,4,3,6,6,3,,,,,2,1,Completed,2.5,1.53,2.4,1.5,2.5,1.53,2.65,1.56,2.68,1.67,2.46,1.55
17,Dubai ,Dubai Tennis Championships,01/03/18,ATP500,Outdoor,Hard,Quarterfinals,3,Pouille L.,Sugita Y.,15,42,2335,1230,3,6,6,3,6,2,,,,,2,1,Completed,1.44,2.75,1.42,2.65,1.44,2.75,1.47,2.95,1.49,3.05,1.45,2.77
17,Dubai ,Dubai Tennis Championships,01/03/18,ATP500,Outdoor,Hard,Quarterfinals,3,Krajinovic F.,Donskoy E.,34,74,1332,727,6,1,6,2,,,,,,,2,0,Completed,1.61,2.3,1.6,2.2,1.67,2.2,1.64,2.45,1.69,2.45,1.63,2.28
17,Dubai ,Dubai Tennis Championships,02/03/18,ATP500,Outdoor,Hard,Semifinals,3,Pouille L.,Krajinovic F.,15,34,2335,1332,6,3,6,7,7,6,,,,,2,1,Completed,1.57,2.37,1.57,2.25,1.61,2.25,1.66,2.4,1.69,2.4,1.63,2.29
17,Dubai ,Dubai Tennis Championships,02/03/18,ATP500,Outdoor,Hard,Semifinals,3,Bautista Agut R.,Jaziri M.,23,117,1845,481,6,3,6,4,,,,,,,2,0,Completed,1.2,4.5,1.18,4.3,1.2,4.5,1.2,5.37,1.23,5.38,1.2,4.67
17,Dubai ,Dubai Tennis Championships,03/03/18,ATP500,Outdoor,Hard,The Final,3,Bautista Agut R.,Pouille L.,23,15,1845,2335,6,3,6,4,,,,,,,2,0,Completed,1.66,2.2,1.6,2.2,1.67,2.2,1.65,2.43,1.7,2.47,1.64,2.28
