name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won
Soonwoo Kwon,2018,9,8,41%,59%,48%,8,25%,12,50%,52%,13%,42%,3,33%,13,8%,26%,39%
Grigor Dimitrov,2018,229,150,62%,75%,48%,195,67%,383,83%,64%,27%,47%,180,36%,381,17%,35%,50%
Andreas Seppi,2018,156,69,58%,76%,50%,157,63%,331,82%,65%,27%,49%,169,41%,325,21%,35%,51%
Damir Dzumhur,2018,93,104,61%,65%,48%,272,56%,388,69%,59%,32%,50%,238,41%,394,25%,39%,49%
Elliot Benchetrit,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Daniel Evans,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Adrian Mannarino,2018,168,89,63%,71%,51%,207,57%,402,78%,64%,27%,49%,163,45%,403,18%,35%,49%
Egor Gerasimov,2018,58,20,63%,72%,57%,33,64%,69,83%,66%,21%,54%,35,40%,68,21%,36%,51%
Lloyd Harris,2018,42,13,57%,70%,48%,31,68%,40,75%,61%,32%,47%,26,38%,41,24%,37%,49%
Antoine Hoang,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Leonardo Mayer,2018,164,72,61%,75%,50%,109,51%,252,79%,65%,27%,46%,122,34%,247,17%,34%,50%
Miomir Kecmanovic,2018,1,2,57%,65%,48%,11,64%,11,64%,58%,13%,62%,3,67%,11,18%,35%,49%
Laslo Djere,2018,63,36,57%,70%,49%,88,63%,137,76%,61%,23%,52%,59,31%,143,13%,33%,47%
Bradley Klahn,2018,101,46,59%,76%,54%,49,55%,138,84%,67%,23%,42%,37,38%,139,10%,29%,49%
Thiago Monteiro,2018,11,8,55%,81%,54%,10,80%,26,92%,69%,21%,41%,3,67%,24,8%,28%,50%
Dominik Koepfer,2018,7,3,59%,84%,54%,0,0%,22,100%,71%,23%,46%,10,20%,22,9%,32%,51%
Jaume Munar,2018,84,44,63%,70%,48%,126,66%,173,75%,62%,26%,49%,80,34%,167,16%,35%,49%
Thanasi Kokkinakis,2018,63,30,58%,77%,49%,38,68%,98,88%,66%,21%,49%,36,36%,101,13%,32%,49%
Ilya Ivashka,2018,95,39,57%,77%,48%,81,60%,165,81%,65%,29%,52%,100,35%,166,21%,38%,51%
Denis Kudla,2018,143,53,57%,74%,51%,78,54%,188,81%,64%,23%,50%,74,41%,186,16%,34%,49%
Janko Tipsarevic,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Henri Laaksonen,2018,13,12,48%,83%,42%,15,73%,19,79%,62%,35%,49%,14,29%,19,21%,40%,51%
Marco Cecchinato,2018,95,58,65%,69%,48%,101,56%,186,76%,62%,21%,46%,85,21%,187,10%,31%,47%
Juan Ignacio Londero,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Sam Querrey,2018,457,113,59%,82%,51%,131,59%,422,87%,69%,26%,48%,197,38%,417,18%,34%,51%
Paolo Lorenzi,2018,69,29,59%,73%,42%,59,58%,102,75%,60%,28%,47%,60,35%,99,21%,36%,49%
Zachary Svajda,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Kamil Majchrzak,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Nicolas Jarry,2018,204,50,62%,74%,50%,120,68%,221,82%,65%,22%,48%,93,35%,218,15%,32%,49%
Yoshihito Nishioka,2018,17,39,68%,62%,52%,135,56%,199,70%,59%,27%,57%,127,39%,199,25%,39%,49%
Marcos Giron,2018,8,2,65%,63%,57%,13,69%,20,80%,60%,27%,54%,15,33%,21,24%,37%,48%
Alexei Popyrin,2018,51,28,55%,73%,44%,44,61%,62,73%,60%,23%,38%,22,32%,64,11%,29%,45%
Federico Delbonis,2018,16,18,61%,68%,48%,39,59%,63,75%,60%,25%,45%,26,31%,66,12%,33%,47%
Tennys Sandgren,2018,178,38,63%,75%,51%,128,67%,258,84%,66%,27%,47%,111,37%,255,16%,34%,50%
Jo-Wilfried Tsonga,2018,138,36,61%,80%,56%,54,74%,177,92%,70%,22%,43%,65,28%,179,10%,30%,50%
Gilles Simon,2018,141,61,61%,70%,51%,182,55%,356,77%,63%,32%,55%,238,40%,347,28%,41%,52%
Bjorn Fratangelo,2018,5,5,54%,69%,49%,11,45%,20,70%,60%,21%,48%,4,50%,20,10%,31%,45%
Lorenzo Sonego,2018,56,14,61%,74%,52%,40,63%,79,81%,65%,20%,48%,27,33%,77,12%,31%,49%
Marcel Granollers,2018,11,13,56%,64%,36%,21,48%,20,45%,52%,24%,43%,13,23%,22,14%,31%,41%
Cedrik-Marcel Stebe,2018,1,8,63%,56%,33%,21,52%,17,41%,47%,16%,45%,3,33%,15,7%,30%,39%
Filip Krajinovic,2018,132,62,63%,67%,51%,196,59%,330,75%,61%,28%,54%,229,37%,336,25%,38%,50%
Jan-Lennard Struff,2018,281,111,57%,77%,50%,145,59%,337,82%,65%,24%,49%,149,44%,339,19%,34%,50%
Casper Ruud,2018,37,14,65%,69%,49%,37,62%,72,81%,62%,18%,53%,21,38%,71,11%,32%,48%
Jordan Thompson,2018,32,22,66%,64%,43%,61,59%,74,66%,57%,29%,51%,45,31%,73,19%,37%,47%
Joao Sousa,2018,149,77,61%,73%,50%,193,49%,423,77%,64%,30%,48%,255,36%,423,22%,38%,50%
Frances Tiafoe,2018,283,107,62%,73%,52%,240,66%,438,82%,65%,26%,49%,213,37%,436,18%,35%,50%
Ivo Karlovic,2018,267,65,65%,84%,53%,54,80%,179,94%,73%,18%,38%,54,22%,181,7%,25%,49%
