name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won
Novak Djokovic,2018,174,91,64%,74%,58%,157,66%,457,88%,68%,33%,55%,347,37%,443,29%,41%,54%
Roberto Carballes Baena,2018,17,24,61%,79%,49%,33,67%,73,85%,67%,24%,47%,29,41%,73,16%,33%,50%
Rafael Nadal,2018,54,32,67%,71%,55%,129,68%,237,83%,66%,32%,55%,163,43%,231,30%,41%,53%
John Millman,2018,115,47,62%,70%,53%,145,61%,271,79%,64%,30%,52%,173,42%,272,26%,40%,51%
Roger Federer,2018,401,98,61%,79%,58%,173,69%,551,90%,71%,33%,48%,317,43%,544,25%,39%,54%
Sumit Nagal,2018,2,3,55%,49%,50%,8,50%,9,56%,49%,26%,40%,2,50%,9,11%,31%,42%
Thomas Fabbiano,2018,19,34,64%,65%,50%,78,62%,124,76%,60%,29%,53%,72,38%,126,21%,37%,49%
Dominic Thiem,2018,314,112,57%,78%,54%,166,63%,448,86%,67%,30%,50%,272,37%,449,22%,38%,52%
Daniil Medvedev,2018,350,201,58%,75%,52%,286,64%,593,83%,65%,28%,52%,370,38%,592,24%,38%,51%
Prajnesh Gunneswaran,2018,7,9,56%,63%,39%,19,37%,25,52%,53%,22%,56%,7,29%,26,8%,33%,43%
Alexander Zverev,2018,379,140,63%,76%,51%,221,62%,536,84%,67%,31%,52%,332,41%,538,25%,40%,53%
Radu Albot,2018,48,63,66%,66%,47%,165,57%,238,70%,59%,27%,51%,145,33%,235,20%,37%,48%
Kei Nishikori,2018,150,88,60%,71%,56%,232,63%,468,82%,65%,30%,51%,260,44%,471,24%,38%,51%
Marco Trungelliti,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Andrey Rublev,2018,226,201,58%,75%,43%,277,62%,433,76%,62%,30%,54%,282,39%,440,25%,39%,50%
Stefanos Tsitsipas,2018,316,109,58%,76%,54%,245,62%,581,84%,67%,25%,48%,255,40%,568,18%,34%,51%
Vasek Pospisil,2018,141,54,59%,74%,50%,116,70%,201,83%,64%,25%,43%,64,41%,201,13%,32%,49%
Karen Khachanov,2018,467,100,65%,77%,53%,214,68%,573,88%,69%,28%,52%,293,45%,570,23%,37%,53%
Mikhail Kukushkin,2018,58,37,64%,66%,51%,194,61%,302,75%,60%,26%,52%,170,34%,308,19%,36%,49%
Roberto Bautista Agut,2018,99,65,64%,71%,53%,198,61%,352,78%,64%,31%,55%,224,42%,343,27%,40%,52%
Reilly Opelka,2018,66,23,57%,80%,56%,23,78%,54,91%,70%,24%,43%,24,21%,54,9%,31%,50%
Fabio Fognini,2018,140,128,59%,69%,52%,212,58%,387,77%,62%,32%,53%,241,46%,388,29%,41%,52%
Borna Coric,2018,218,79,64%,73%,55%,204,63%,458,84%,67%,29%,52%,264,45%,460,26%,38%,52%
Evgeny Donskoy,2018,92,50,61%,68%,50%,177,62%,276,76%,61%,27%,47%,119,40%,274,18%,35%,48%
Gael Monfils,2018,186,106,63%,73%,51%,123,60%,274,82%,65%,31%,48%,141,46%,265,25%,38%,51%
Albert Ramos-Vinolas,2018,84,54,58%,72%,50%,143,62%,223,75%,63%,21%,46%,89,29%,225,12%,31%,47%
John Isner,2018,738,83,67%,80%,56%,129,66%,539,92%,72%,23%,41%,194,27%,530,10%,30%,51%
Guillermo Garcia-Lopez,2018,53,65,57%,71%,49%,82,54%,151,75%,61%,23%,52%,80,38%,153,20%,36%,49%
David Goffin,2018,130,57,61%,71%,53%,139,62%,261,80%,64%,29%,57%,196,41%,266,30%,41%,52%
Corentin Moutet,2018,12,23,61%,62%,37%,37,43%,45,53%,52%,33%,45%,25,40%,46,22%,38%,45%
Nikoloz Basilashvili,2018,159,149,58%,70%,51%,229,64%,383,79%,62%,27%,50%,202,41%,380,22%,36%,49%
Marton Fucsovics,2018,122,91,56%,72%,52%,205,66%,341,79%,63%,31%,52%,221,41%,349,26%,40%,51%
Denis Shapovalov,2018,335,261,56%,76%,51%,280,65%,558,82%,65%,28%,48%,260,42%,552,20%,36%,51%
Felix Auger-Aliassime,2018,73,42,62%,68%,53%,89,63%,138,76%,62%,30%,48%,75,37%,134,21%,37%,50%
Pablo Carreno Busta,2018,122,53,68%,68%,56%,167,65%,330,82%,64%,28%,53%,187,46%,333,26%,38%,51%
Guido Pella,2018,98,32,66%,69%,54%,105,60%,196,79%,64%,28%,54%,101,45%,194,23%,38%,51%
Diego Schwartzman,2018,100,92,60%,69%,50%,201,58%,339,75%,61%,30%,54%,233,39%,344,27%,39%,50%
Robin Haase,2018,222,98,57%,72%,49%,215,58%,392,77%,62%,27%,49%,193,45%,393,22%,36%,49%
Marin Cilic,2018,372,115,59%,79%,52%,186,61%,515,86%,68%,30%,51%,333,36%,510,24%,38%,52%
Martin Klizan,2018,62,26,59%,73%,53%,59,56%,122,79%,65%,26%,49%,55,44%,121,20%,35%,50%
Stan Wawrinka,2018,181,63,57%,73%,56%,150,65%,333,84%,66%,26%,46%,153,34%,332,16%,34%,50%
Jannik Sinner,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Matteo Berrettini,2018,130,38,62%,75%,52%,85,59%,198,82%,66%,26%,46%,101,26%,198,13%,34%,50%
Richard Gasquet,2018,198,69,63%,72%,52%,159,60%,336,81%,65%,29%,49%,173,43%,336,22%,37%,51%
Lucas Pouille,2018,270,111,56%,75%,50%,184,67%,369,83%,64%,25%,48%,167,41%,372,18%,34%,50%
Philipp Kohlschreiber,2018,123,41,62%,71%,55%,159,65%,303,82%,65%,26%,49%,156,37%,308,19%,35%,50%
Feliciano Lopez,2018,313,76,61%,77%,47%,153,67%,293,83%,65%,25%,45%,121,28%,293,12%,32%,49%
Taylor Fritz,2018,276,83,60%,74%,49%,204,63%,382,80%,64%,25%,51%,191,37%,382,18%,35%,50%
Dusan Lajovic,2018,63,32,66%,65%,52%,149,56%,241,73%,61%,28%,51%,133,41%,245,22%,37%,49%
Steve Darcis,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Nick Kyrgios,2018,454,100,64%,78%,55%,112,69%,340,90%,70%,22%,49%,132,41%,339,16%,32%,51%
Steve Johnson,2018,208,79,57%,74%,53%,147,67%,316,85%,65%,27%,44%,128,38%,315,16%,34%,50%
Benoit Paire,2018,305,179,51%,77%,43%,257,56%,409,72%,60%,32%,48%,246,39%,409,24%,38%,49%
Brayden Schnur,2018,7,6,61%,73%,34%,6,50%,12,75%,58%,31%,47%,4,75%,12,25%,37%,48%
Pablo Andujar,2018,4,5,62%,69%,59%,9,56%,17,76%,65%,24%,43%,7,29%,17,12%,31%,49%
Kyle Edmund,2018,263,77,61%,76%,53%,184,66%,432,85%,67%,26%,51%,239,35%,430,19%,35%,51%
Cristian Garin,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Christopher Eubanks,2018,13,3,62%,77%,48%,5,20%,15,73%,66%,24%,65%,5,60%,15,20%,36%,50%
Fernando Verdasco,2018,255,153,61%,74%,50%,219,62%,417,80%,65%,30%,53%,235,43%,421,24%,38%,51%
Tobias Kamke,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Gregoire Barrere,2018,1,2,61%,57%,32%,12,67%,7,43%,47%,7%,47%,1,0%,8,0%,23%,37%
Cameron Norrie,2018,108,78,64%,74%,49%,128,66%,242,82%,65%,29%,49%,118,45%,243,22%,37%,51%
Aljaz Bedene,2018,76,22,57%,73%,49%,85,67%,127,78%,62%,27%,52%,65,35%,127,18%,37%,50%
Jozef Kovalik,2018,11,9,61%,70%,53%,21,67%,44,84%,63%,26%,54%,29,34%,44,23%,39%,52%
Ricardas Berankis,2018,89,61,57%,72%,49%,142,58%,224,74%,62%,25%,47%,101,39%,226,17%,34%,48%
Jiri Vesely,2018,110,68,65%,73%,49%,80,65%,163,83%,64%,26%,44%,72,35%,168,15%,32%,48%
Jenson Brooksby,2018,0,0,64%,45%,48%,17,59%,12,42%,46%,9%,35%,2,50%,12,8%,21%,36%
Tomas Berdych,2018,122,25,59%,78%,48%,91,66%,184,83%,66%,31%,54%,125,42%,178,29%,41%,53%
Alexander Bublik,2018,7,14,56%,68%,45%,19,42%,29,62%,58%,27%,37%,8,38%,29,10%,31%,45%
Santiago Giraldo,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
Jeremy Chardy,2018,238,132,61%,77%,48%,147,57%,337,81%,65%,23%,49%,151,33%,330,15%,33%,49%
Hubert Hurkacz,2018,67,34,61%,67%,50%,79,58%,121,73%,60%,29%,45%,70,36%,122,20%,35%,48%
Hyeon Chung,2018,159,115,63%,71%,52%,261,59%,515,79%,64%,32%,54%,336,43%,522,28%,40%,52%
Ernesto Escobedo,2018,64,22,56%,77%,56%,34,53%,95,83%,68%,20%,37%,13,54%,92,8%,26%,48%
Marius Copil,2018,317,74,57%,79%,52%,112,61%,294,85%,68%,25%,48%,117,39%,294,16%,34%,51%
Ugo Humbert,2018,53,17,58%,74%,56%,28,57%,78,85%,66%,24%,44%,23,48%,77,14%,33%,50%
Pablo Cuevas,2018,35,23,61%,72%,52%,40,57%,83,80%,64%,28%,48%,32,50%,81,20%,36%,50%
Jack Sock,2018,141,93,62%,73%,49%,155,64%,278,80%,64%,27%,47%,140,38%,284,19%,35%,50%
Alex de Minaur,2018,171,103,61%,70%,54%,282,67%,485,81%,63%,28%,55%,297,42%,488,25%,39%,51%
Pierre-Hugues Herbert,2018,295,136,60%,74%,51%,233,67%,456,83%,65%,26%,47%,164,45%,449,16%,34%,50%
Hugo Dellien,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
