,Winner,WRank
112,Tiafoe F.,39
113,Nadal R.,2
114,Bautista Agut R.,24
115,Tsitsipas S.,15
116,Raonic M.,17
117,Pouille L.,31
118,Nishikori K.,9
119,Djokovic N.,1
