Player,Percentage,Games Won,Total Games,Matches
John Isner,91.84%,495,539,36
Roger Federer,90.20%,497,551,44
Nick Kyrgios,89.71%,305,340,24
Kevin Anderson,89.62%,561,626,48
Milos Raonic,88.86%,335,377,29
Juan Martin del Potro,88.41%,473,535,45
Novak Djokovic,88.40%,404,457,37
Karen Khachanov,88.13%,505,573,48
Sam Querrey,87.20%,368,422,32
Dominic Thiem,86.38%,387,448,33
Marin Cilic,86.02%,443,515,37
Kyle Edmund,85.42%,369,432,32
Ryan Harrison,85.25%,318,373,28
Marius Copil,85.03%,250,294,24
Steve Johnson,84.81%,268,316,27
Stefanos Tsitsipas,84.17%,489,581,47
Alexander Zverev,84.14%,451,536,46
Stan Wawrinka,84.08%,280,333,25
Borna Coric,83.62%,383,458,38
Lucas Pouille,83.47%,308,369,28
Grigor Dimitrov,83.29%,319,383,28
Pierre-Hugues Herbert,83.11%,379,456,35
Daniil Medvedev,82.80%,491,593,50
Feliciano Lopez,82.59%,242,293,24
Jan-Lennard Struff,82.49%,278,337,26
Andreas Seppi,82.48%,273,331,24
Denis Shapovalov,82.44%,460,558,42
Pablo Carreno Busta,82.42%,272,330,27
Gael Monfils,82.12%,225,274,22
Kei Nishikori,81.84%,383,468,41
Philipp Kohlschreiber,81.52%,247,303,22
Frances Tiafoe,81.51%,357,438,35
Peter Gojowczyk,81.37%,332,408,34
Jeremy Chardy,81.31%,274,337,28
Alex de Minaur,81.03%,393,485,40
Richard Gasquet,80.95%,272,336,30
Taylor Fritz,80.37%,307,382,31
Fernando Verdasco,80.10%,334,417,32
David Goffin,79.69%,208,261,23
Marton Fucsovics,79.47%,271,341,27
Hyeon Chung,79.22%,408,515,43
Nikoloz Basilashvili,78.59%,301,383,30
Roberto Bautista Agut,78.13%,275,352,30
Adrian Mannarino,78.11%,314,402,33
Gilles Simon,77.25%,275,356,31
Fabio Fognini,77.00%,298,387,32
Robin Haase,76.79%,301,392,30
Joao Sousa,76.60%,324,423,32
Matthew Ebden,76.49%,270,353,28
Andrey Rublev,75.75%,328,433,37
Evgeny Donskoy,75.72%,209,276,25
Filip Krajinovic,75.45%,249,330,30
Mikhail Kukushkin,75.17%,227,302,24
Diego Schwartzman,74.93%,254,339,26
Mischa Zverev,73.76%,208,282,25
Malek Jaziri,72.95%,213,292,24
Benoit Paire,72.13%,295,409,34
Damir Dzumhur,68.81%,267,388,35
