ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/18,ATP500,Outdoor,Hard,2nd Round,3,Struff J.L.,Chardy J.,56,42,910,1075,7,6,6,7,6,4,,,,,2,1,Completed,1.66,2.1,1.7,2.25,1.67,2.2,1.78,2.17,1.8,2.25,1.73,2.12
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/18,ATP500,Outdoor,Hard,2nd Round,3,Tsitsipas S.,De Minaur A.,15,38,1962,1208,6,3,5,7,6,1,,,,,2,1,Completed,1.66,2.1,1.73,2.2,1.67,2.2,1.79,2.14,1.8,2.4,1.72,2.14
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/18,ATP500,Outdoor,Hard,2nd Round,3,Anderson K.,Tiafoe F.,9,41,3595,1090,6,3,3,6,6,2,,,,,2,1,Completed,1.4,2.75,1.47,2.85,1.44,2.62,1.43,3.07,1.5,3.07,1.44,2.81
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/18,ATP500,Outdoor,Hard,2nd Round,3,Gasquet R.,Kyrgios N.,25,27,1580,1425,7,6,7,6,,,,,,,2,0,Completed,2.5,1.5,2.55,1.57,2.5,1.53,2.48,1.61,2.55,1.63,2.42,1.57
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/18,ATP500,Outdoor,Hard,Quarterfinals,3,Shapovalov D.,Struff J.L.,31,56,1295,910,4,6,7,6,6,4,,,,,2,1,Completed,1.44,2.75,1.47,2.85,1.44,2.75,1.49,2.88,1.49,3.15,1.43,2.85
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/18,ATP500,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Raonic M.,32,20,1287,1755,7,6,6,3,,,,,,,2,0,Completed,2.75,1.44,2.75,1.5,2.75,1.44,2.87,1.49,2.87,1.53,2.73,1.46
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/18,ATP500,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Tsitsipas S.,12,15,2520,1962,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,1.47,2.85,1.44,2.75,1.46,3,1.48,3.05,1.44,2.83
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/18,ATP500,Outdoor,Hard,Quarterfinals,3,Gasquet R.,Anderson K.,25,9,1580,3595,7,6,7,6,,,,,,,2,0,Completed,2.2,1.66,2.2,1.73,2.1,1.73,2.19,1.78,2.25,1.8,2.13,1.72
59,Tokyo,Rakuten Japan Open Tennis Championships,06/10/18,ATP500,Outdoor,Hard,Semifinals,3,Medvedev D.,Shapovalov D.,32,31,1287,1295,6,3,6,3,,,,,,,2,0,Completed,1.72,2.1,1.8,2.1,1.8,2,1.9,2.03,1.9,2.2,1.77,2.08
59,Tokyo,Rakuten Japan Open Tennis Championships,06/10/18,ATP500,Outdoor,Hard,Semifinals,3,Nishikori K.,Gasquet R.,12,25,2520,1580,7,6,6,1,,,,,,,2,0,Completed,1.4,3,1.42,3.1,1.4,3,1.45,3.02,1.47,3.12,1.41,2.94
59,Tokyo,Rakuten Japan Open Tennis Championships,07/10/18,ATP500,Outdoor,Hard,The Final,3,Medvedev D.,Nishikori K.,32,12,1287,2520,6,2,6,4,,,,,,,2,0,Completed,3.2,1.36,3.2,1.4,3,1.4,3.42,1.38,3.42,1.4,3.17,1.37
